Name,Category,ImageUrl,Description,Price
"Minimalist Retro Teak Wood TV Table — Original Furniture Buffet",TV console,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/23/29e71130-ca04-43f3-92a0-573b85a02195.jpg,"**Material:** Teak wood
**Table size:** 200 x 70 x 50 cm
**Color:** Natural Melamine (customizable)

Suitable for indoor and outdoor use.
Custom furniture designs available.

Crafted from premium materials and expertly made by skilled artisans.
Model, size, and color can be customized to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Products are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.
",Rp3.600.000
"Modern Rectangular TV Table — Modern TV Console",TV console,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/4/23/fb97d119-592d-4a8a-886b-a2483421d625.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Crafted from high-quality materials and skillfully made by experienced artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more economical delivery.",Rp2.500.000
"Modern Teak Wood and Rattan Bed Frame",Sleeping cot,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/4/23/56f701ee-20dc-4e1f-a5b4-e8c76f99f113.jpg,"**Material:** Perhutani teak wood and rattan
**Finishing color:** By request

Crafted from premium materials and carefully made by skilled artisans.
Custom orders are welcome — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery information.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.
",Rp3.900.000
"Carved Teak Wood Bed Frame",Sleeping cot,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/22/0efd835d-f23f-4856-89bf-61a2825eed82.jpg,"**Material:** Teak wood
**Sizes:** 160 x 200 cm | 180 x 200 cm | 200 x 200 cm
**Color:** White Duco with gold accents (customizable)

Suitable for indoor and outdoor use.
Custom furniture designs are available.

Crafted from high-quality materials and expertly made by skilled artisans.
Model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more economical delivery.",Rp7.000.000
"Original Teak Wood Bed Frame Furniture",Sleeping cot,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/22/1a378a53-6002-4e6c-87c5-c32828723592.jpg,"**Material:** Teak wood
**Sizes:** 160 x 200 cm | 180 x 200 cm | 200 x 200 cm
**Color:** Natural (customizable)

Suitable for indoor and outdoor use.
Custom furniture designs are available.

Crafted from high-quality materials and expertly made by skilled artisans.
Model, size, and color can be customized to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-efficient delivery.",Rp3.000.000
"Modern Teak Wood and Rattan Bed Frame",Sleeping cot,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/4/23/56f701ee-20dc-4e1f-a5b4-e8c76f99f113.jpg,"**Material:** Perhutani teak wood and rattan
**Finishing color:** By request

Carefully crafted from premium materials by skilled artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery information.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more economical delivery.",Rp3.900.000
"Modern Japanese Living Room Sofa Set",Sofa for guest,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/31/746427f4-b787-4b86-9ae2-4a891051fa60.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request
**Fabric color:** By request

Crafted from high-quality materials and skillfully made by experienced artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.",Rp8.000.000
"Vintage Teak Wood Sofa Chair",Sofa for guest,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/31/bbf80278-056b-4401-95bf-a1d926f2bdb0.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request
**Fabric color:** By request

Made from premium materials and expertly crafted by skilled artisans.
Custom orders are welcome — model, size, and color can be tailored to your preferences.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.",Rp9.000.000
"Modern Minimalist Corner Living Room Chair",Sofa for guest,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/26/5f57212f-7d7b-4f0c-8d56-436fa92edff3.jpg,"• Bahan : Kayu Jati
• Ukuran : 210 x 210 Cm
• Warna : Natural Melamine ( Custom )

Indoor And Outdoor Furniture
Open Custom Design Furniture


Barang di buat menggunakan material berkualitas dan juga dikerjakan oleh para ahli di bidangnya.
Bisa custom order model lain, ukuran dan warna sesuai keinginan kalian

Note :
- Harga belum termasuk ongkir, informasi ongkos kirim bisa chat ke admin kami terlebih dahulu
- Barang diproses secepatnya 15hr - 30hr,tergantung antrian & tingkat kerumitan barang yg dipesan
- Barang Dengan Ukuran Kecil dikirim langsung Menggunakan JNE
- Diskusikan dengan kami sebelum memesan

Pengiriman :
- Berat Pengiriman Yang Tertera Di TOKOPEDIA Hanya Untuk Mengirim Nomer Resi Pengiriman Yang Berupa Invoice / Nota Pembelian
- Pengiriman barang menggunakan jasa Ekspedisi Truk/Pick Up, agar lebih mudah, aman dan lebih murah.",Rp5.999.000
"Affordable Carved Teak Wood Living Room Sofa Chair",Sofa for guest,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/23/37c7e653-5007-4674-aec6-b3563b90e047.jpg,"**Material:** Teak wood
**Size:** 240 x 180 cm
**Color:** Natural (customizable)

Suitable for indoor and outdoor use.
Custom furniture designs are available.

Crafted from premium materials and expertly made by skilled artisans.
Model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.",Rp6.100.000
"Retro Jengki-Style Teak Wood Living Room Chair",Sofa for guest,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/22/8d54a0ce-9792-493f-b00e-d56906deac10.jpg,"**Material:** Teak wood
**Configuration:** 2 1 1
**Color:** Natural Melamine (customizable)

Crafted from premium materials and skillfully made by experienced artisans.
Custom orders are welcome — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.",Rp5.000.000
"Modern Teak Wood Living Room Sofa Set",Sofa for guest,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/20/371355cd-c3c8-4702-bd3a-9cd5befc2aaf.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Crafted from high-quality materials and meticulously made by skilled artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more economical delivery.",Rp9.000.000
"Modern Lounge Sofa — Premium Sofa",Sofa,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/20/4e02bf4b-9ab8-4ea6-b05f-4e6c18794e3c.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Carefully crafted from premium materials by skilled artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.",Rp5.200.000
"Minimalist Teak Wood Sofa Chair with Rattan Combination",Sofa,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/4/18/af91eb53-95ed-42da-aa11-87ca52801420.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Crafted from premium materials and expertly made by skilled artisans.
Custom orders are welcome — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more economical delivery.",Rp4.800.000
"Japanese-Style Teak Wood Sofa Chair",Sofa,https://images.tokopedia.net/img/cache/700/VqbcmM/2025/3/22/bc6c5425-f946-4095-9287-c5119a7d6daf.jpg,"**Material:** Teak wood
**Size:** 180 x 180 cm
**Color:** Natural (customizable)

Crafted from high-quality materials and skillfully made by experienced artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more economical delivery.","Rp8.200.000"
"Modern Chesterfield Living Room Sofa",Sofa,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/20/e28497a1-589b-4384-9441-7600d2cb8458.jpg,"**Product:** Premium sofa (color by request)

Crafted from high-quality materials and meticulously made by skilled artisans.
Custom orders are welcome — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more economical delivery.
",Rp8.000.000
"Modern Solid Teak Wood Living Room Sofa Chair",Sofa,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/20/8a25a270-cdb8-4826-8477-f66ce7fbc8b1.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Carefully crafted from premium materials by skilled artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.","Rp5.500.000"
Premium Full Foam Sofa Chair,Sofa,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/20/7992f5e2-b09e-45a9-97e9-7f0ca96e0d36.jpg,"**Product:** Premium sofa (color by request)

Crafted from high-quality materials and expertly made by skilled artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.","Rp7.200.000
"
"Space-Saving Minimalist Dining Table Set",Dinning chairs,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/27/1d1d6d64-b237-406e-b8e1-8a87517ef3a8.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request
**Fabric color:** By request

Crafted from premium materials and expertly made by skilled artisans.
Custom orders are welcome — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.",Rp2.900.000
"Space-Saving Modern Dining Table Set",Dinning chairs,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/27/07333281-50b6-4656-800b-26ded2252092.jpg,"- Material : Kayu jati perhutani
- Finishing warna : by request
-warna kain : by request

Barang di buat menggunakan material berkualitas dan juga dikerjakan oleh para ahli di bidangnya.
Bisa custom order model lain, ukuran dan warna sesuai keinginan kalian

Note :
- Harga belum termasuk ongkir, informasi ongkos kirim bisa chat ke admin kami terlebih dahulu
- Barang diproses secepatnya 15hr - 30hr,tergantung antrian & tingkat kerumitan barang yg dipesan
- Barang Dengan Ukuran Kecil dikirim langsung Menggunakan JNE
- Diskusikan dengan kami sebelum memesan

Pengiriman :
- Berat Pengiriman Yang Tertera Di TOKOPEDIA Hanya Untuk Mengirim Nomer Resi Pengiriman Yang Berupa Invoice / Nota Pembelian
- Pengiriman barang menggunakan jasa Ekspedisi Truk/Pick Up, agar lebih mudah, aman dan lebih murah.","Rp2.800.000"
"Rattan Dining Chair — Café Chair Made of Teak Wood",Dinning chairs,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/27/b741c333-2da8-47ca-9f69-e64e7f1d7f9e.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request
**Fabric color:** By request

Crafted from high-quality materials and meticulously made by skilled artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.","Rp850.000"
"Modern Café Chair — Modern Minimalist Dining Chair Made of Teak Wood",Dinning chairs,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/27/180f68ba-7096-4a56-a51f-37eb4b8dcf3b.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request
**Fabric color:** By request

Crafted from premium materials and skillfully made by experienced artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.
",Rp1.200.000
"Dining Chair and Sofa Seat — Café Sofa Seat Made of Teak Wood",Dinning chairs,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/4/1/e5c0841b-232c-483b-ba02-798815caebd9.jpg,"- Material : Kayu jati perhutani
- Finishing warna : by request
- Warna kain : by request

Barang di buat menggunakan material berkualitas dan juga dikerjakan oleh para ahli di bidangnya.
Bisa custom order model lain, ukuran dan warna sesuai keinginan kalian

Note :
- Harga belum termasuk ongkir, informasi ongkos kirim bisa chat ke admin kami terlebih dahulu
- Barang diproses secepatnya 15hr - 30hr,tergantung antrian & tingkat kerumitan barang yg dipesan
- Barang Dengan Ukuran Kecil dikirim langsung Menggunakan JNE
- Diskusikan dengan kami sebelum memesan

Pengiriman :
- Berat Pengiriman Yang Tertera Di TOKOPEDIA Hanya Untuk Mengirim Nomer Resi Pengiriman Yang Berupa Invoice / Nota Pembelian
- Pengiriman barang menggunakan jasa Ekspedisi Truk/Pick Up, agar lebih mudah, aman dan lebih murah.","Rp850.000"
"Minimalist Café Sofa Chair
",Dinning chairs,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/31/57c7d5a3-f237-4928-aa42-4e71531e59ae.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request
**Fabric color:** By request

Crafted from premium materials and expertly made by skilled artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.
","Rp5.000.000"
"Modern Minimalist Teak Wood Nightstand
",Small table cupboard,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/4/23/a9d542d6-9612-43ad-9585-9ed21875c199.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Crafted from high-quality materials and expertly made by skilled artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more economical delivery.
",Rp1.200.000
"Minimalist Coffee Table",Small table cupboard,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/4/23/abb5e14e-1bb0-4e2d-8367-a35d0f7986a4.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Crafted from premium materials and meticulously made by skilled artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.
",Rp1.400.000
"Modern Rectangular TV Table — Modern TV Console",Small table cupboard,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/4/23/fb97d119-592d-4a8a-886b-a2483421d625.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Carefully crafted from high-quality materials by skilled artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more economical delivery.
",Rp2.500.000
"Teak Wood TV Table with Rattan — Teak Wood TV Console with Rattan Mix
",Small table cupboard,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/4/23/8fda852c-de68-4038-8271-f4f2780740f2.jpg,"**Material:** Perhutani teak wood and rattan
**Finishing color:** By request

Crafted from premium materials and expertly made by skilled artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.
",Rp4.500.000
"Minimalist Retro Teak Wood Nightstand Furniture",Small table cupboard,https://images.tokopedia.net/img/cache/700/VqbcmM/2025/3/22/fc097b55-877f-4c82-977f-ac6b0729c13b.jpg,"**Material:** Teak wood
**Size:** 50 x 40 x 55 cm
**Color:** Natural (customizable)

Crafted from premium materials and skillfully made by experienced artisans.
Custom orders are welcome — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more economical delivery.","Rp750.000"
