Name,Category,ImageUrl,Description,Price,Url,Id
"Minimalist Retro Teak Wood TV Table — Original Furniture Buffet",TV console,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/23/29e71130-ca04-43f3-92a0-573b85a02195.jpg,"**Material:** Teak wood
**Table size:** 200 x 70 x 50 cm
**Color:** Natural Melamine (customizable)

Suitable for indoor and outdoor use.
Custom furniture designs available.

Crafted from premium materials and expertly made by skilled artisans.
Model, size, and color can be customized to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Products are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.
",Rp3.600.000,https://www.tokopedia.com/wanfurniture/meja-tv-minimalis-retro-kayu-jati-raktv-asli-furniture-buffet-1731706431492031892?extParam=src%3Dshop%26whid%3D16945315&aff_unique_id=&channel=others&chain_key=,1731706431492031892
"Modern Rectangular TV Table — Modern TV Console",TV console,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/4/23/fb97d119-592d-4a8a-886b-a2483421d625.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Crafted from high-quality materials and skillfully made by experienced artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more economical delivery.",Rp2.500.000,https://www.tokopedia.com/wanfurniture/meja-tv-modern-persegi-panjang-konsol-tv-modern-1731234442767861533?extParam=src%3Dshop%26whid%3D16945315&aff_unique_id=&channel=others&chain_key=,1731234442767861533
"Modern Teak Wood and Rattan Bed Frame",Sleeping cot,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/4/23/56f701ee-20dc-4e1f-a5b4-e8c76f99f113.jpg,"**Material:** Perhutani teak wood and rattan
**Finishing color:** By request

Crafted from premium materials and carefully made by skilled artisans.
Custom orders are welcome — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery information.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.
",Rp3.900.000,https://www.tokopedia.com/wanfurniture/dipan-tempat-tidur-kayu-jati-rotan-modern-1731234423448962845?extParam=src%3Dshop%26whid%3D16945315&aff_unique_id=&channel=others&chain_key=,1731234423448962845
"Carved Teak Wood Bed Frame",Sleeping cot,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/22/0efd835d-f23f-4856-89bf-61a2825eed82.jpg,"**Material:** Teak wood
**Sizes:** 160 x 200 cm | 180 x 200 cm | 200 x 200 cm
**Color:** White Duco with gold accents (customizable)

Suitable for indoor and outdoor use.
Custom furniture designs are available.

Crafted from high-quality materials and expertly made by skilled artisans.
Model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more economical delivery.",Rp7.000.000,https://www.tokopedia.com/wanfurniture/dipan-tempat-tidur-kayu-jati-ukir-1731055750592694045?extParam=src%3Dshop%26whid%3D16945315&aff_unique_id=&channel=others&chain_key=,1731055750592694045
"Original Teak Wood Bed Frame Furniture",Sleeping cot,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/22/1a378a53-6002-4e6c-87c5-c32828723592.jpg,"**Material:** Teak wood
**Sizes:** 160 x 200 cm | 180 x 200 cm | 200 x 200 cm
**Color:** Natural (customizable)

Suitable for indoor and outdoor use.
Custom furniture designs are available.

Crafted from high-quality materials and expertly made by skilled artisans.
Model, size, and color can be customized to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-efficient delivery.",Rp3.000.000,https://www.tokopedia.com/wanfurniture/dipan-tempat-tidur-kayu-jati-furniture-asli-1731706476312167828?extParam=src%3Dshop%26whid%3D16945315&aff_unique_id=&channel=others&chain_key=,1731706476312167828
"Modern Teak Wood and Rattan Bed Frame",Sleeping cot,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/4/23/56f701ee-20dc-4e1f-a5b4-e8c76f99f113.jpg,"**Material:** Perhutani teak wood and rattan
**Finishing color:** By request

Carefully crafted from premium materials by skilled artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery information.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more economical delivery.",Rp3.900.000,https://www.tokopedia.com/wanfurniture/dipan-ropan-minimalis-tempat-tidur-ropan-jati-kayu-1731706452543309204?extParam=src%3Dshop%26whid%3D16945315&aff_unique_id=&channel=others&chain_key=,1731706452543309204
"Modern Japanese Living Room Sofa Set",Sofa for guest,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/31/746427f4-b787-4b86-9ae2-4a891051fa60.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request
**Fabric color:** By request

Crafted from high-quality materials and skillfully made by experienced artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.",Rp8.000.000,https://www.tokopedia.com/wanfurniture/set-kursi-sofa-tamu-modern-jepang-1731099602585224989?extParam=src%3Dshop%26whid%3D16945315&aff_unique_id=&channel=others&chain_key=,1731099602585224989
"Vintage Teak Wood Sofa Chair",Sofa for guest,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/31/bbf80278-056b-4401-95bf-a1d926f2bdb0.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request
**Fabric color:** By request

Made from premium materials and expertly crafted by skilled artisans.
Custom orders are welcome — model, size, and color can be tailored to your preferences.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.",Rp9.000.000,https://www.tokopedia.com/wanfurniture/kursi-sofa-vintage-kayu-jati-1731099596365137693?extParam=src%3Dshop%26whid%3D16945315&aff_unique_id=&channel=others&chain_key=,1731099596365137693
"Modern Minimalist Corner Living Room Chair",Sofa for guest,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/26/5f57212f-7d7b-4f0c-8d56-436fa92edff3.jpg,"• Bahan : Kayu Jati
• Ukuran : 210 x 210 Cm
• Warna : Natural Melamine ( Custom )

Indoor And Outdoor Furniture
Open Custom Design Furniture


Barang di buat menggunakan material berkualitas dan juga dikerjakan oleh para ahli di bidangnya.
Bisa custom order model lain, ukuran dan warna sesuai keinginan kalian

Note :
- Harga belum termasuk ongkir, informasi ongkos kirim bisa chat ke admin kami terlebih dahulu
- Barang diproses secepatnya 15hr - 30hr,tergantung antrian & tingkat kerumitan barang yg dipesan
- Barang Dengan Ukuran Kecil dikirim langsung Menggunakan JNE
- Diskusikan dengan kami sebelum memesan

Pengiriman :
- Berat Pengiriman Yang Tertera Di TOKOPEDIA Hanya Untuk Mengirim Nomer Resi Pengiriman Yang Berupa Invoice / Nota Pembelian
- Pengiriman barang menggunakan jasa Ekspedisi Truk/Pick Up, agar lebih mudah, aman dan lebih murah.",Rp5.999.000,https://www.tokopedia.com/wanfurniture/kursi-tamu-sudut-minimalis-modern-1731061829669390109?extParam=src%3Dshop%26whid%3D16945315&aff_unique_id=&channel=others&chain_key=,1731061829669390109
"Affordable Carved Teak Wood Living Room Sofa Chair",Sofa for guest,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/23/37c7e653-5007-4674-aec6-b3563b90e047.jpg,"**Material:** Teak wood
**Size:** 240 x 180 cm
**Color:** Natural (customizable)

Suitable for indoor and outdoor use.
Custom furniture designs are available.

Crafted from premium materials and expertly made by skilled artisans.
Model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.",Rp6.100.000,https://www.tokopedia.com/wanfurniture/kursi-sofa-tamu-ukiran-kayu-jati-murah-1731061801247147805?extParam=src%3Dshop%26whid%3D16945315&aff_unique_id=&channel=others&chain_key=,1731061801247147805
"Retro Jengki-Style Teak Wood Living Room Chair",Sofa for guest,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/22/8d54a0ce-9792-493f-b00e-d56906deac10.jpg,"**Material:** Teak wood
**Configuration:** 2 1 1
**Color:** Natural Melamine (customizable)

Crafted from premium materials and skillfully made by experienced artisans.
Custom orders are welcome — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.",Rp5.000.000,https://www.tokopedia.com/wanfurniture/kursi-tamu-jengki-retro-kayu-jati-1731055661858326301?extParam=src%3Dshop%26whid%3D16945315&aff_unique_id=&channel=others&chain_key=,1731055661858326301
"Modern Teak Wood Living Room Sofa Set",Sofa for guest,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/20/371355cd-c3c8-4702-bd3a-9cd5befc2aaf.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Crafted from high-quality materials and meticulously made by skilled artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more economical delivery.",Rp9.000.000,https://www.tokopedia.com/wanfurniture/set-kursi-tamu-sofa-kayu-jati-modern-1731044695079880477?extParam=src%3Dshop%26whid%3D16945315&aff_unique_id=&channel=others&chain_key=,1731044695079880477
"Modern Lounge Sofa — Premium Sofa",Sofa,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/20/4e02bf4b-9ab8-4ea6-b05f-4e6c18794e3c.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Carefully crafted from premium materials by skilled artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.",Rp5.200.000,https://www.tokopedia.com/wanfurniture/kursi-sofa-santai-modern-sofa-premium-1731044734100670237?extParam=src%3Dshop%26whid%3D16945315&aff_unique_id=&channel=others&chain_key=,1731044734100670237
"Minimalist Teak Wood Sofa Chair with Rattan Combination",Sofa,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/4/18/af91eb53-95ed-42da-aa11-87ca52801420.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Crafted from premium materials and expertly made by skilled artisans.
Custom orders are welcome — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more economical delivery.",Rp4.800.000,https://www.tokopedia.com/wanfurniture/kursi-sofa-minimalis-kayu-jati-kombinasi-rotan-1731044742931908381?extParam=src%3Dshop%26whid%3D16945315&aff_unique_id=&channel=others&chain_key=,1731044742931908381
"Japanese-Style Teak Wood Sofa Chair",Sofa,https://images.tokopedia.net/img/cache/700/VqbcmM/2025/3/22/bc6c5425-f946-4095-9287-c5119a7d6daf.jpg,"**Material:** Teak wood
**Size:** 180 x 180 cm
**Color:** Natural (customizable)

Crafted from high-quality materials and skillfully made by experienced artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more economical delivery.","Rp8.200.000",https://www.tokopedia.com/wanfurniture/kursi-sofa-japan-style-kayu-jati-1731055700940523293?extParam=src%3Dshop%26whid%3D16945315&aff_unique_id=&channel=others&chain_key=,1731055700940523293
"Modern Chesterfield Living Room Sofa",Sofa,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/20/e28497a1-589b-4384-9441-7600d2cb8458.jpg,"**Product:** Premium sofa (color by request)

Crafted from high-quality materials and meticulously made by skilled artisans.
Custom orders are welcome — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more economical delivery.
",Rp8.000.000,https://www.tokopedia.com/wanfurniture/sofa-ruang-tamu-chesterfield-modern-1731044754964645661?extParam=whid%3D16945315%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,1731044754964645661
"Modern Solid Teak Wood Living Room Sofa Chair",Sofa,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/20/8a25a270-cdb8-4826-8477-f66ce7fbc8b1.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request

Carefully crafted from premium materials by skilled artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.","Rp5.500.000",https://www.tokopedia.com/wanfurniture/kursi-sofa-tamu-modern-kayu-jati-solid-1731044728212588317?extParam=src%3Dshop%26whid%3D16945315&aff_unique_id=&channel=others&chain_key=,1731044728212588317
Premium Full Foam Sofa Chair,Sofa,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/20/7992f5e2-b09e-45a9-97e9-7f0ca96e0d36.jpg,"**Product:** Premium sofa (color by request)

Crafted from high-quality materials and expertly made by skilled artisans.
Custom orders are available — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.","Rp7.200.000
",https://www.tokopedia.com/wanfurniture/kursi-sofa-full-busa-premium-1731044754769807133?extParam=src%3Dshop%26whid%3D16945315&aff_unique_id=&channel=others&chain_key=,1731044754769807133
"Space-Saving Minimalist Dining Table Set
",Dinning chairs,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/27/1d1d6d64-b237-406e-b8e1-8a87517ef3a8.jpg,"**Material:** Perhutani teak wood
**Finishing color:** By request
**Fabric color:** By request

Crafted from premium materials and expertly made by skilled artisans.
Custom orders are welcome — model, size, and color can be tailored to your preference.

**Note:**

* Price excludes shipping; please contact our admin for delivery details.
* Production time: approximately 15–30 days, depending on queue and item complexity.
* Small items are shipped directly via JNE.
* Please consult with us before placing your order.

**Shipping:**

* The listed weight on Tokopedia is for invoice or receipt purposes only.
* Items are shipped via truck or pick-up service for safer, easier, and more cost-effective delivery.
",Rp2.900.000,https://www.tokopedia.com/wanfurniture/set-meja-makan-minimalis-hemat-ruang-1731082768488433437?extParam=src%3Dshop%26whid%3D16945315&aff_unique_id=&channel=others&chain_key=,1731082768488433437
"Space-Saving Modern Dining Table Set
",Dinning chairs,https://images.tokopedia.net/img/cache/1600-square/VqbcmM/2025/3/27/07333281-50b6-4656-800b-26ded2252092.jpg,"- Material : Kayu jati perhutani
- Finishing warna : by request
-warna kain : by request

Barang di buat menggunakan material berkualitas dan juga dikerjakan oleh para ahli di bidangnya.
Bisa custom order model lain, ukuran dan warna sesuai keinginan kalian

Note :
- Harga belum termasuk ongkir, informasi ongkos kirim bisa chat ke admin kami terlebih dahulu
- Barang diproses secepatnya 15hr - 30hr,tergantung antrian & tingkat kerumitan barang yg dipesan
- Barang Dengan Ukuran Kecil dikirim langsung Menggunakan JNE
- Diskusikan dengan kami sebelum memesan

Pengiriman :
- Berat Pengiriman Yang Tertera Di TOKOPEDIA Hanya Untuk Mengirim Nomer Resi Pengiriman Yang Berupa Invoice / Nota Pembelian
- Pengiriman barang menggunakan jasa Ekspedisi Truk/Pick Up, agar lebih mudah, aman dan lebih murah.","Rp2.800.000",https://www.tokopedia.com/wanfurniture/set-meja-makan-modern-hemat-ruang-1731082767609333533?extParam=whid%3D16945315%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,1731082767609333533
